Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
Mighty No. 9,XOne,2016,Platform,Deep Silver,0.02,0.0,0.0,0.0,0.02,55.0,4.2
The Crew: Wild Run,XOne,2015,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,65.0,6.6
The Crew: Wild Run,PC,2015,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,74.0,7.4
Pillars of Eternity,PC,2014,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.0,0.02,89.0,8.3
Prototype: Biohazard Bundle,PS4,2016,Action,Activision,0.01,0.0,0.0,0.0,0.02,48.0,2.0
Invizimals: The Lost Kingdom,PS3,2013,Action,Sony Computer Entertainment,0.0,0.02,0.0,0.0,0.02,50.0,5.0
Mark McMorris Infinite Air,PS4,2016,Sports,FuRyu Corporation,0.01,0.0,0.0,0.0,0.02,49.0,6.0
Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,87.0,8.7
Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure,Revolution Software,0.0,0.02,0.0,0.0,0.02,77.0,7.2
Quantum Break,PC,2016,Action,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.02,66.0,4.3
DuckTales: Remastered,PC,2013,Action,Capcom,0.0,0.01,0.0,0.0,0.02,66.0,7.6
Assetto Corsa,XOne,2016,Racing,505 Games,0.0,0.01,0.0,0.0,0.02,63.0,6.7
Contrast,PC,2013,Platform,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,62.0,7.7
Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,72.0,6.2
Republique,PS4,2016,Action,Nippon Ichi Software,0.0,0.01,0.01,0.0,0.01,72.0,5.8
NBA 2K17,PC,2016,Sports,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01,90.0,6.3
